make,name,battery,real_range,efficiency,charge_power,drive,seats,tow_hitch,top_speed,acceleration,value
VOLKSWAGEN,ID. Buzz Pro,77.0,345,223,480,RWD,5,True,145,10.2,64581
HYUNDAI,IONIQ 5 Long Range AWD,74.0,385,192,1010,AWD,5,True,185,5.1,59200
JEEP,Avenger Electric,50.8,310,164,500,FWD,5,False,150,9.0,38500
HYUNDAI,IONIQ 5 Standard Range 2WD,54.0,295,183,720,RWD,5,True,185,8.5,43900
ZEEKR,001 Performance AWD,94.0,500,188,670,AWD,5,True,200,3.8,63970
BMW,i5 eDrive40 Sedan,81.2,470,173,750,RWD,5,True,193,6.0,70200
CITROEN,e-C4,46.3,290,160,460,FWD,5,False,150,9.7,36040
FORD,Explorer Extended Range RWD,77.0,430,179,640,RWD,5,True,180,6.4,49500
KIA,EV6 Long Range AWD,74.0,400,185,1050,AWD,5,True,185,5.2,55980
MAZDA,MX-30,30.0,170,176,170,FWD,5,False,140,9.7,35990
ALFA ROMEO,Junior Elettrica 54 kWh Veloce,50.8,305,167,490,FWD,5,False,150,7.0,46000
VOLVO,EX30 Twin Motor Performance,64.0,335,191,560,AWD,5,True,180,3.6,48490
MINI,Countryman E,64.7,385,168,520,FWD,5,True,170,8.6,43500
NIO,ET5 100 kWh,90.0,500,180,520,AWD,5,True,200,4.0,68500
VOLKSWAGEN,ID. Buzz LWB Pro S,86.0,370,232,470,RWD,7,True,160,8.0,73000
TESLA,Model X Dual Motor,95.0,475,200,660,AWD,7,True,250,3.9,100970
VOLKSWAGEN,ID.7 Pro S,86.0,520,165,800,RWD,5,False,180,7.0,60000
MG,MG4 Electric 77 kWh,74.4,425,175,430,RWD,5,True,180,6.5,45990
DACIA,Spring Electric 45,25.0,165,152,180,FWD,4,False,125,19.1,18000
MG,MG5 Electric Long Range,57.4,335,171,330,FWD,5,True,185,7.7,38490
KIA,EV9 99.8 kWh AWD GT-Line,96.0,425,226,810,AWD,7,True,200,5.3,82380
MERCEDES-BENZ,EQV 300 Long,90.0,315,286,320,FWD,7,False,160,12.1,79048
BYD,SEAL U 87 kWh Design,87.0,405,215,370,FWD,5,False,175,9.6,24664
BYD,DOLPHIN 44.9 kWh Active,44.9,255,176,260,FWD,5,False,150,12.3,28000
SMART,#1 Brabus,62.0,325,191,500,AWD,5,True,180,3.9,48990
LOTUS,Eletre,109.0,495,220,1040,AWD,5,True,250,4.5,96990
RENAULT,Zoe ZE50 R135,52.0,310,168,230,FWD,5,False,140,9.5,37840
MAXUS,MIFA 9,84.0,365,230,420,FWD,7,True,180,9.2,68990
LEXUS,RZ 450e,64.0,320,200,480,AWD,5,True,160,5.6,68000
MERCEDES-BENZ,EQE 350+,90.6,530,171,790,RWD,5,True,210,6.4,43992
BMW,i5 M60 xDrive Sedan,81.2,420,193,670,AWD,5,True,230,3.8,99500
CUPRA,Tavascan VZ,77.0,430,179,640,AWD,5,False,180,5.6,58000
XPENG,G9 RWD Standard Range,75.8,395,192,830,RWD,5,True,200,6.4,57600
SUBARU,Solterra AWD,64.0,320,200,480,AWD,5,True,160,6.9,57490
XPENG,G6 RWD Long Range,87.5,490,179,980,RWD,5,True,200,6.7,50000
MINI,Cooper SE,49.8,305,163,440,FWD,4,False,170,6.7,36900
HYUNDAI,IONIQ 6 Standard Range 2WD,54.0,365,148,900,RWD,5,True,185,8.8,43900
MASERATI,GranTurismo Folgore,83.0,420,198,920,AWD,4,False,325,2.7,198212
VOLVO,EX40 Single Motor ER,79.0,400,198,600,RWD,5,True,180,7.3,55490
TOYOTA,bZ4X AWD,64.0,315,203,470,AWD,5,True,160,6.9,57390
BMW,iX2 xDrive30,64.7,380,170,510,AWD,5,True,180,5.6,56500
FORD,Explorer Extended Range AWD,79.0,430,184,690,AWD,5,True,180,5.3,53500
SKODA,Enyaq Coupe 85,77.0,480,160,720,RWD,5,True,180,6.7,51150
MG,ZS EV Standard Range,49.0,265,185,250,FWD,5,True,175,8.6,33990
FISKER,Ocean Extreme,106.5,490,217,580,AWD,5,True,205,3.9,63590
VOLKSWAGEN,ID.7 Tourer Pro,77.0,460,167,710,RWD,5,True,180,6.6,54795
RENAULT,Twingo Electric,21.3,135,158,110,RWD,4,False,135,12.6,28000
POLESTAR,4 Long Range Single Motor,94.0,495,190,670,RWD,5,True,180,7.4,63200
POLESTAR,4 Long Range Dual Motor,94.0,465,202,630,AWD,5,True,200,3.8,71200
FISKER,Ocean Ultra,106.5,510,209,610,AWD,5,True,200,4.2,58900
TESLA,Model X Plaid,95.0,455,209,630,AWD,7,True,262,2.7,115970
MG,MG4 Electric XPOWER,61.7,320,193,560,AWD,5,True,200,3.8,46990
ALFA ROMEO,Junior Elettrica 54 kWh,50.8,315,161,500,FWD,5,False,150,9.0,39500
OPEL,Mokka-e 50 kWh,46.3,260,178,420,FWD,5,False,150,9.2,40650
KIA,EV9 99.8 kWh RWD,96.0,450,213,850,RWD,7,True,185,9.4,72490
PEUGEOT,e-208 50 kWh,46.3,290,160,460,FWD,5,False,150,9.0,37475
MERCEDES-BENZ,EQE 300,89.0,525,170,660,RWD,5,True,210,7.3,67187
POLESTAR,2 Standard Range Single Motor,67.0,405,165,480,RWD,5,True,205,6.4,46275
VOLKSWAGEN,ID.7 Tourer GTX,86.0,480,179,770,AWD,5,True,180,6.0,65000
POLESTAR,2 Long Range Dual Motor,79.0,450,176,670,AWD,5,True,205,4.5,52275
MASERATI,GranCabrio Folgore,83.0,395,210,870,AWD,4,False,290,2.8,206713
HYUNDAI,Kona Electric 48 kWh,48.4,295,164,280,FWD,5,True,160,8.8,41990
SMART,#3 Brabus,62.0,335,185,520,AWD,5,True,180,3.7,50990
PORSCHE,Macan Turbo Electric,95.0,480,198,960,AWD,5,True,260,3.3,114600
VOLKSWAGEN,ID.4 Pro 4MOTION,77.0,425,181,630,AWD,5,True,180,6.6,49020
LANCIA,Ypsilon,48.1,305,158,470,FWD,5,False,150,8.5,40000
VOLKSWAGEN,ID.7 Tourer Pro S,86.0,505,170,810,RWD,5,True,180,7.0,61000
FIAT,600e,50.8,305,167,490,FWD,5,False,150,9.0,36490
NISSAN,Leaf e+,59.0,340,174,240,FWD,5,False,157,6.9,41100
PEUGEOT,e-5008 73 kWh,73.0,370,197,430,FWD,7,True,170,9.0,52000
MERCEDES-BENZ,EQB 350 4MATIC,66.5,345,193,500,AWD,7,True,160,6.2,58197
PORSCHE,Taycan Plus,97.0,560,173,1230,RWD,5,False,230,4.8,107224
